x0000,y0000
149.8248405,-1.239818767,
149.6094728,-1.291808621,
149.3946103,-1.343550131,
149.1802513,-1.309178423,
148.9663944,-1.31723898,
148.7530379,-1.194285247,
148.5401803,-1.411853707,
148.32782,-0.9964845304,
148.1159555,-0.7097986868,
147.9045852,-0.4299442765,
147.6937076,-0.1250625111,
147.4833212,-0.2834717098,
147.2734245,-0.4062013392,
147.0640158,-0.3496976228,
146.8550938,-0.1195557183,
146.6466569,-0.2016886293,
146.4387036,-0.58418959,
146.2312325,-0.703720193,
146.0242419,-0.6600943783,
145.8177305,-0.5242751839,
145.6116968,-0.5423563035,
145.4061392,-0.8587073725,
145.2010564,-0.9196724082,
144.9964468,-1.000577569,
144.792309,-0.9271178481,
144.5886416,-1.238607681,
144.3854432,-1.712511911,
144.1827122,-1.568301838,
143.9804472,-1.637303307,
143.7786469,-1.257702701,
143.5773097,-1.304046027,
143.3764344,-1.42541425,
143.1760194,-0.9185579346,
142.9760633,-0.7104868236,
142.7765648,-0.6258324474,
142.5775225,-0.5871242537,
142.378935,-0.8543964348,
142.1808009,-0.604031025,
141.9831187,-0.6838986436,
141.7858873,-0.4935423159,
141.589105,-0.5722701589,
141.3927707,-0.5546255184,
141.196883,-0.7001131444,
141.0014404,-0.2531763109,
140.8064417,-0.1501406908,
140.6118855,-0.05668112253,
140.4177705,-0.3423454665,
140.2240953,-0.2468574165,
140.0308586,-0.404130943,
139.8380591,-0.7442462501,
139.6456954,-0.8676594227,
139.4537663,-0.7229145019,
139.2622705,-0.8348554937,
139.0712066,-0.8280030763,
138.8805733,-0.9868029179,
138.6903694,-0.8826597643,
138.5005935,-0.9961884632,
138.3112445,-0.7939771124,
138.1223209,-0.6939065313,
137.9338216,-0.7619761135,
137.7457452,-0.9540030184,
137.5580905,-1.131498788,
137.3708562,-0.9935668233,
137.1840411,-0.80570938,
136.997644,-0.7680275103,
136.8116635,-0.8504893912,
136.6260985,-0.8852756442,
136.4409477,-0.7224375671,
136.2562098,-0.7410099431,
136.0718837,-0.6616831394,
135.8879681,-0.4774562284,
135.7044618,-0.6205533616,
135.5213636,-0.4886710565,
135.3386723,-0.3459671213,
135.1563867,-0.4182220646,
134.9745056,-0.2441314218,
134.7930277,-0.2020477801,
134.6119519,-0.3014583626,
134.431277,-0.4173477598,
134.2510019,-0.3948532176,
134.0711253,-0.6007970503,
133.891646,-0.5667889059,
133.712563,-0.5422458386,
133.5338749,-0.5178091703,
133.3555808,-0.6938381001,
133.1776794,-0.910739877,
133.0001695,-0.7545095161,
132.8230501,-0.6837395204,
132.6463199,-0.6344255749,
132.4699778,-0.6504641109,
132.2940228,-0.7982516064,
132.1184536,-0.7553978344,
131.9432691,-1.117399062,
131.7684683,-0.8612239789,
131.59405,-0.8420989138,
131.420013,-0.8085674984,
131.2463563,-0.4589643114,
131.0730787,-0.2443068082,
130.9001793,-0.01169395441,
130.7276567,0.06911323542,
130.5555101,-0.1191174214,
130.3837382,-0.0759620015,
130.21234,-0.1658612506,
130.0413144,-0.2322350157,
129.8706603,-0.1438328537,
129.7003767,-0.1479503938,
129.5304624,-0.2139302874,
129.3609165,-0.220523488,
129.1917378,-0.3186266017,
129.0229253,-0.3275982621,
128.8544779,-0.5144353851,
128.6863946,-0.6357520891,
128.5186743,-0.7443269533,
128.351316,-0.8541727794,
128.1843186,-0.9470347127,
128.0176812,-0.9571319802,
127.8514026,-0.9092210814,
127.6854819,-0.7950438999,
127.519918,-0.6141668607,
127.3547098,-0.675593457,
127.1898565,-0.7170276033,
127.0253569,-0.629048764,
126.8612101,-0.6951674406,
126.697415,-0.4184226833,
126.5339706,-0.5867487783,
