x0000,y0000,x0001,y0001
149.9152593,-0.6401361029,82.26244686,2.522803184,
149.7526211,-0.4620714035,79.13522598,4.893736038,
149.5902855,-0.4358707562,76.08581106,5.389263107,
149.4282517,-0.1020200385,72.9899822,4.674921592,
149.266519,0.1018305446,69.90530338,4.374799803,
149.1050866,0.5947288917,66.79279403,3.533569373,
148.9439537,0.8795384908,63.64948569,2.244958394,
148.7831197,0.7004850991,60.47409849,1.572261794,
148.6225838,0.4101564212,57.36164254,0.9970163195,
148.4623452,0.3768786495,54.23255624,0.8272110295,
148.3024032,0.1414840867,51.12285638,0.5708563991,
148.1427571,-0.04070528736,48.02958193,0.3554308027,
147.9834062,-0.352403523,44.99241789,0.2027199093,
147.8243498,-0.4444497421,41.99428138,0.1281735201,
147.665587,-0.5097193175,38.96863625,0.104853462,
147.5071172,-0.456829082,36.00303812,0.136762292,
147.3489397,-0.5473487963,32.83576613,0.3211368763,
147.1910537,-0.4255703061,29.61711498,0.340859139,
147.0334585,-0.3600025743,26.42757672,0.03274767037,
146.8761535,-0.2684818609,23.11538375,0.009780765419,
146.7191379,-0.3251806449, , ,
146.5624109,-0.4779035238, , ,
146.405972,-0.7480999376, , ,
146.2498203,-0.5078390633, , ,
146.0939552,-0.5912567107, , ,
145.938376,-0.5116448285, , ,
145.783082,-0.357979931, , ,
145.6280725,-0.2161691315, , ,
145.4733467,-0.3896804887, , ,
145.318904,-0.3913786784, , ,
145.1647438,-0.4572444505, , ,
145.0108653,-0.3731344736, , ,
144.8572678,-0.3604643793, , ,
144.7039506,-0.2273722767, , ,
144.5509131,-0.07644889346, , ,
144.3981546,0.06200152557, , ,
144.2456744,-0.04046562314, , ,
144.0934718,0.1797838507, , ,
143.9415462,0.2632560126, , ,
143.7898969,0.3622066965, , ,
143.6385232,0.1662020776, , ,
143.4874245,0.2728312731, , ,
143.3366,0.1396998169, , ,
143.1860492,0.1433634888, , ,
143.0357713,-0.1634353026, , ,
142.8857657,-0.4246303922, , ,
142.7360318,-0.5196980348, , ,
142.5865689,-0.7023062471, , ,
142.4373763,-0.9308334453, , ,
142.2884533,-1.236801981, , ,
142.1397994,-1.250039118, , ,
141.9914139,-1.138910777, , ,
141.8432962,-1.022785381, , ,
141.6954455,-0.7701300067, , ,
141.5478613,-0.5590854585, , ,
141.4005429,-0.3763965461, , ,
141.2534896,-0.1606945775, , ,
141.106701,0.04048331395, , ,
140.9601762,0.008387095731, , ,
140.8139147,0.009894217741, , ,
140.6679158,-0.07597273746, , ,
140.522179,-0.07886989191, , ,
140.3767035,-0.2460264867, , ,
140.2314888,-0.2682550587, , ,
140.0865343,-0.3552728366, , ,
139.9418392,-0.5195318545, , ,
139.7974031,-0.3540026031, , ,
139.6532253,-0.1778102597, , ,
139.5093051,-0.1325577493, , ,
139.365642,0.02317487482, , ,
139.2222353,-0.1290999625, , ,
139.0790844,0.02383717377, , ,
138.9361888,-0.07658914852, , ,
138.7935478,-0.09129790686, , ,
138.6511608,-0.1007675665, , ,
138.5090272,-0.03919984445, , ,
138.3671465,-0.2606215062, , ,
138.2255179,-0.3662852774, , ,
138.084141,-0.7297981079, , ,
137.943015,-0.6697524998, , ,
137.8021395,-0.8430362433, , ,
137.6615139,-0.7917809037, , ,
137.5211374,-0.9269775083, , ,
137.3810097,-0.7897075655, , ,
137.24113,-0.768656815, , ,
137.1014977,-0.5645738498, , ,
136.9621124,-0.3438030384, , ,
136.8229734,-0.1954912011, , ,
136.6840801,-0.2262248572, , ,
136.545432,-0.2077884767, , ,
136.4070284,-0.00864258491, , ,
136.2688689,0.1315671257, , ,
136.1309528,0.09616907394, , ,
135.9932795,-0.03080589844, , ,
135.8558486,-0.1916617526, , ,
135.7186594,-0.2077444049, , ,
135.5817113,-0.3812644066, , ,
135.4450038,-0.4837466555, , ,
135.3085363,-0.4310570798, , ,
135.1723083,-0.2658366371, , ,
135.0363193,-0.1379926959, , ,
134.9005685,-0.233116919, , ,
134.7650556,-0.2559795619, , ,
134.6297799,-0.1703543738, , ,
134.4947408,-0.04216274453, , ,
134.359938,0.07716323935, , ,
134.2253706,-0.1330491038, , ,
134.0910384,-0.2306817945, , ,
133.9569406,-0.3391385205, , ,
133.8230767,-0.3859157725, , ,
133.6894462,-0.3400431072, , ,
133.5560486,-0.7490129987, , ,
133.4228833,-0.9507476363, , ,
133.2899498,-0.8024404348, , ,
133.1572475,-0.9460617709, , ,
133.024776,-0.836188666, , ,
132.8925345,-0.5519030972, , ,
132.7605228,-0.437595976, , ,
132.6287401,-0.3641449317, , ,
132.497186,-0.1601923983, , ,
132.3658599,-0.006833965457, , ,
132.2347614,0.09073431998, , ,
132.1038898,0.05039637173, , ,
131.9732447,0.08362202877, , ,
131.8428256,0.1622041497, , ,
131.7126319,0.131436109, , ,
131.582663,0.1271511085, , ,
131.4529186,0.06549132922, , ,
131.3233981,-0.1664789106, , ,
131.1941009,-0.1298584496, , ,
131.0650265,-0.2236702387, , ,
130.9361745,-0.2192619205, , ,
130.8075443,-0.3005479191, , ,
130.6791354,-0.3748716504, , ,
130.5509473,-0.4115832406, , ,
130.4229795,-0.4874575585, , ,
130.2952315,-0.5404679073, , ,
130.1677029,-0.6105500306, , ,
130.0403929,-0.6803906943, , ,
129.9133013,-0.5152052704, , ,
129.7864275,-0.5479945957, , ,
129.659771,-0.3374612518, , ,
129.5333312,-0.515853295, , ,
129.4071078,-0.3980516136, , ,
129.2811002,-0.5652376377, , ,
129.1553079,-0.4274589886, , ,
129.0297304,-0.4750874652, , ,
128.9043673,-0.5877900948, , ,
128.779218,-0.6460525983, , ,
128.6542821,-0.4414536726, , ,
128.5295591,-0.2920703353, , ,
128.4050484,0.07580900445, , ,
128.2807497,0.009702566028, , ,
128.1566624,0.09363197536, , ,
128.0327861,0.3551967941, , ,
127.9091202,0.4948863233, , ,
127.7856644,0.54801221, , ,
127.6624181,0.1827883755, , ,
127.5393808,0.09027879473, , ,
127.4165521,-0.2294692159, , ,
127.2939315,-0.2635383329, , ,
127.1715186,-0.4096084346, , ,
127.0493128,-0.5628151502, , ,
126.9273137,-0.4552046294, , ,
126.8055209,-0.6363362251, , ,
126.6839338,-0.5264317746, , ,
126.5625521,-0.4598502164, , ,
126.4413751,-0.4824064561, , ,
126.3204026,-0.497960888, , ,
126.199634,-0.4418161219, , ,
126.0790689,-0.4504831749, , ,
125.9587068,-0.3156842938, , ,
125.8385472,-0.2476203557, , ,
125.7185898,-0.24033721, , ,
125.598834,-0.2330780771, , ,
125.4792794,-0.2395303238, , ,
125.3599255,-0.2701838498, , ,
125.2407719,-0.1581179132, , ,
125.1218182,-0.2822779203, , ,
125.0030639,-0.2317474235, , ,
124.8845086,-0.2591223804, , ,
124.7661517,-0.1065550731, , ,
124.647993,0.0166021599, , ,
124.5300318,0.04910933135, , ,
124.4122679,-0.06373543941, , ,
124.2947007,0.05383991094, , ,
124.1773298,0.2357671998, , ,
124.0601548,0.1756157215, , ,
123.9431752,0.2435040131, , ,
123.8263906,0.1817159088, , ,
123.7098006,0.007280798984, , ,
123.5934048,-0.06238949268, , ,
123.4772026,-0.1844382128, , ,
123.3611938,-0.1165160122, , ,
123.2453777,-0.1765930315, , ,
123.1297541,-0.1612570736, , ,
123.0143225,-0.188621879, , ,
122.8990825,-0.2302886219, , ,
122.7840336,-0.3107333385, , ,
122.6691755,-0.2074099579, , ,
122.5545076,-0.3192522332, , ,
122.4400297,-0.3896173975, , ,
122.3257412,-0.4561805714, , ,
122.2116417,-0.217322019, , ,
122.0977309,-0.1920654629, , ,
121.9840083,-0.04379434183, , ,
121.8704735,0.09394330198, , ,
121.7571261,0.1285902373, , ,
121.6439656,0.152522695, , ,
121.5309918,0.3545158157, , ,
121.418204,0.2506283342, , ,
121.3056021,0.1775535272, , ,
121.1931854,0.1602957525, , ,
121.0809537,0.2453047234, , ,
120.9689065,0.1673493684, , ,
120.8570435,0.2520670212, , ,
120.7453642,0.269088704, , ,
120.6338681,0.1114044242, , ,
120.522555,0.1674118427, , ,
120.4114244,0.2481036423, , ,
120.300476,0.1524290272, , ,
120.1897092,-0.1083702045, , ,
120.0791238,-0.195092432, , ,
119.9687193,-0.1447872549, , ,
119.8584953,-0.1330782971, , ,
119.7484515,-0.2199076404, , ,
119.6385874,-0.2589986659, , ,
119.5289027,-0.2694213085, , ,
119.4193969,-0.345345316, , ,
119.3100697,-0.3504717741, , ,
119.2009208,-0.4413520293, , ,
119.0919496,-0.3584044112, , ,
118.9831558,-0.264402582, , ,
118.874539,-0.1825762408, , ,
118.7660989,-0.2082386864, , ,
118.6578351,-0.1239513965, , ,
118.5497471,-0.0005625003794, , ,
118.4418347,0.008985396813, , ,
118.3340974,-0.133440935, , ,
118.2265348,-0.06269391114, , ,
118.1191465,-0.1257434763, , ,
118.0119323,0.04240455603, , ,
117.9048917,-0.002785257143, , ,
117.7980243,0.02391445521, , ,
117.6913298,0.09994513625, , ,
117.5848077,0.1313817394, , ,
117.4784578,0.09464129029, , ,
117.3722797,0.2398128943, , ,
117.2662729,0.2311508319, , ,
117.1604371,0.2357350831, , ,
117.054772,0.001649685273, , ,
116.9492772,-0.05709695524, , ,
116.8439522,-0.1194912894, , ,
116.7387968,0.05855500886, , ,
116.6338106,0.01256634573, , ,
116.5289932,-0.004363876232, , ,
116.4243443,-0.2047726388, , ,
116.3198635,-0.120165106, , ,
116.2155504,-0.2638303548, , ,
116.1114047,-0.214086042, , ,
116.007426,-0.3327894206, , ,
115.903614,-0.3565675706, , ,
115.7999683,-0.3559964974, , ,
115.6964885,-0.2294117423, , ,
115.5931743,-0.1435561926, , ,
115.4900254,-0.06871089992, , ,
115.3870414,-0.1066532541, , ,
115.2842219,0.1337724807, , ,
115.1815666,0.1356958594, , ,
115.0790751,0.1696158668, , ,
114.9767472,0.1198198357, , ,
114.8745824,0.2126735142, , ,
114.7725804,0.2394073835, , ,
114.6707408,0.2501560134, , ,
114.5690634,0.1915516233, , ,
114.4675477,0.1680014658, , ,
114.3661934,0.2679530559, , ,
114.2650003,0.2949120015, , ,
114.1639678,0.1551087218, , ,
114.0630958,0.149088001, , ,
113.9623838,0.0791428732, , ,
113.8618315,0.09576279954, , ,
113.7614387,-0.1368857621, , ,
113.6612048,-0.1810081245, , ,
113.5611297,-0.1916586314, , ,
113.461213,-0.1799156723, , ,
113.3614543,-0.2917708557, , ,
113.2618533,-0.1834940195, , ,
113.1624097,-0.2453072672, , ,
113.0631231,-0.2650716124, , ,
112.9639933,-0.2796142397, , ,
112.8650198,-0.2642359277, , ,
112.7662024,-0.3306742217, , ,
112.6675407,-0.236190499, , ,
112.5690345,-0.1789145265, , ,
112.4706833,-0.1223302945, , ,
112.3724868,-0.1073177893, , ,
112.2744448,-0.1076592971, , ,
112.1765569,-0.05298091368, , ,
112.0788227,0.1429255268, , ,
111.981242,0.1868826722, , ,
111.8838145,0.182026139, , ,
111.7865398,0.2348960631, , ,
111.6894175,0.2229026091, , ,
111.5924475,0.204385813, , ,
111.4956293,0.1672835838, , ,
111.3989626,0.09960939502, , ,
111.3024472,0.1602308077, , ,
111.2060827,-0.0466400351, , ,
111.1098687,-0.1046509419, , ,
111.0138051,-0.0854897909, , ,
110.9178914,-0.1133093228, , ,
110.8221274,-0.1505111678, , ,
110.7265128,-0.1278843068, , ,
110.6310472,-0.2300317703, , ,
110.5357303,-0.09474651626, , ,
110.4405618,-0.08073110396, , ,
110.3455414,-0.04549512569, , ,
110.2506689,-0.1165234006, , ,
110.1559438,-0.0364802095, , ,
110.0613659,-0.08712116549, , ,
109.966935,-0.06585372788, , ,
109.8726506,-0.2041241562, , ,
109.7785124,-0.1758819917, , ,
109.6845203,-0.2856708825, , ,
109.5906738,-0.2500631178, , ,
109.4969727,-0.1292267595, , ,
109.4034167,0.03895146655, , ,
109.3100055,0.09576959416, , ,
109.2167387,0.1461018978, , ,
109.1236161,0.07172645461, , ,
109.0306374,0.05806675126, , ,
108.9378023,-0.1106396375, , ,
