x0000,y0000
149.9571681,0.474655217,
149.806416,0.286335403,
149.6559271,0.08144357499,
149.5057009,-0.07895626769,
149.3557366,0.1950955817,
149.2060337,0.1332128638,
149.0565915,0.3219537325,
148.9074095,0.2623936568,
148.7584871,0.4401785899,
148.6098236,0.2730861473,
148.4614185,0.4710853774,
148.3132711,0.3376674209,
148.1653809,0.5402538377,
148.0177473,0.3495572225,
147.8703696,0.5038703734,
147.7232473,0.483857568,
147.5763798,0.8139495901,
147.4297665,1.087202997,
147.2834068,1.310003732,
147.1373002,1.207378191,
146.991446,1.244001655,
146.8458437,1.108500616,
146.7004926,1.153483792,
146.5553923,0.7143042941,
146.4105421,0.6588013185,
146.2659414,0.2626151564,
146.1215898,0.1224429339,
145.9774865,-0.1289813037,
145.8336312,-0.1766700532,
145.690023,-0.2667916314,
145.5466616,-0.1775556193,
145.4035464,-0.1832088619,
145.2606767,0.005204317001,
145.118052,0.04156315319,
144.9756719,0.1541128957,
144.8335356,0.2056250648,
144.6916426,0.4888158517,
144.5499925,0.462917283,
144.4085846,0.7240953096,
144.2674183,0.5267167134,
144.1264932,0.6174869249,
143.9858087,0.4531734698,
143.8453643,0.3741987778,
143.7051593,0.2400420345,
143.5651933,0.2826067594,
143.4254656,0.5031723329,
143.2859759,0.6453163657,
143.1467235,0.9065440405,
143.0077078,0.996877775,
142.8689284,1.03707139,
142.7303848,1.165805686,
142.5920763,1.055865541,
142.4540024,1.005215064,
142.3161627,0.5982332013,
142.1785566,0.467607262,
142.0411835,0.2223271369,
141.904043,0.2119595415,
141.7671345,-0.03847291852,
141.6304574,-0.1763917704,
141.4940114,-0.3181048802,
141.3577958,-0.2339226908,
141.2218101,-0.3028786679,
141.0860538,-0.1215123118,
140.9505264,-0.2651838141,
140.8152274,0.07322514667,
140.6801563,0.09489183256,
140.5453125,0.34875466,
140.4106956,0.2073596816,
140.2763051,0.3461841587,
140.1421403,0.2555364589,
140.0082009,0.45584767,
139.8744863,0.4954417457,
139.740996,0.4591822416,
139.6077296,0.4112536317,
139.4746864,0.4604140135,
139.3418661,0.5736899251,
139.2092681,0.7776706262,
139.0768919,0.5876163413,
138.9447371,0.6664108671,
138.8128031,0.5458323692,
138.6810894,0.5360103558,
138.5495956,0.3647273318,
138.4183212,0.4788882654,
138.2872656,0.386018473,
138.1564285,0.4657186625,
138.0258092,0.4384333069,
137.8954074,0.5998915937,
137.7652225,0.4993040479,
137.6352541,0.5343209211,
137.5055016,0.3106066923,
137.3759647,0.1476302588,
137.2466428,0.03095763581,
137.1175354,-0.08196885598,
136.9886421,-0.07713764398,
136.8599624,0.01808057254,
136.7314959,-0.06217440613,
136.603242,0.06474125463,
136.4752003,0.1226050269,
136.3473703,0.2993535696,
136.2197516,0.3931655921,
136.0923436,0.4661131837,
135.965146,0.3984879685,
135.8381583,0.6231799467,
135.71138,0.6333684984,
135.5848106,0.7601072556,
135.4584497,0.6391746919,
135.3322968,0.663726398,
135.2063515,0.6790202292,
135.0806133,0.8015755476,
134.9550818,0.6095029633,
134.8297565,0.5334990846,
134.704637,0.2728230036,
134.5797227,0.5532016943,
134.4550133,0.4108137963,
134.3305083,0.3732085215,
134.2062073,0.3143789684,
134.0821098,0.4191316413,
133.9582154,0.3069033495,
133.8345236,0.4093936511,
133.7110341,0.3431744483,
133.5877462,0.318874773,
133.4646597,0.1812761557,
133.341774,0.1976075737,
133.2190888,-0.07916952453,
133.0966036,-0.1211104403,
132.9743179,-0.1221859377,
132.8522314,-0.1670968049,
132.7303436,-0.332381213,
132.608654,-0.04179672797,
132.4871623,0.06259319131,
132.365868,0.2253481774,
132.2447707,0.4165638797,
132.12387,0.7034231416,
132.0031653,0.8323113296,
131.8826564,1.165228501,
131.7623428,0.9873995485,
131.642224,0.8464009019,
131.5222997,0.6765242017,
131.4025694,0.5981667521,
131.2830327,0.4136852564,
131.1636892,0.2260723875,
131.0445385,0.05952720455,
130.9255801,0.1770552399,
130.8068137,0.1996384303,
130.6882388,0.4072722407,
130.569855,0.1515568634,
130.4516619,0.1673051882,
130.3336591,0.1129948649,
130.2158463,-0.05211473869,
130.0982229,-0.2350574351,
129.9807885,-0.1521751085,
129.8635429,-0.1604729736,
129.7464855,-0.08467655965,
129.629616,-0.1252905313,
129.512934,-0.02550370757,
129.396439,-0.181877366,
129.2801306,-0.01150044768,
129.1640086,-0.0277986108,
129.0480724,0.165921415,
128.9323217,0.2704711505,
128.816756,0.5304548466,
128.7013751,0.6298845042,
128.5861784,0.7337917478,
128.4711656,0.7828985496,
128.3563363,0.836628179,
128.2416902,0.9033112197,
128.1272268,0.9876509837,
128.0129457,0.8249036941,
127.8988465,0.8069644908,
127.7849289,0.5359347852,
127.6711925,0.4344586917,
127.5576369,0.3309403623,
127.4442617,0.3068136671,
127.3310666,0.02415267442,
127.218051,0.1570373686,
127.1052148,0.1109850021,
126.9925574,0.1711971178,
126.8800786,-0.02926813656,
126.7677779,0.1326669547,
126.6556549,0.03967875289,
126.5437094,0.1922540962,
126.4319408,0.1867151757,
126.3203489,0.08014325129,
126.2089332,0.03305037364,
126.0976935,0.1180988569,
125.9866292,0.2554772106,
125.8757402,0.4559022314,
125.7650259,0.4765025472,
125.654486,0.50106414,
125.5441202,0.2688046829,
125.433928,0.2133290926,
125.3239092,0.05382097084,
125.2140634,0.3527164574,
125.1043901,0.3515916205,
124.9948891,0.370415168,
124.88556,0.4386799066,
124.7764024,0.5112745668,
124.6674159,0.676660454,
124.5586003,0.8160435964,
124.4499551,0.8334244706,
124.3414799,0.8360717748,
124.2331745,0.6301593748,
124.1250385,0.5543260362,
124.0170716,0.4669290281,
123.9092732,0.4252459763,
123.8016433,0.1842843334,
123.6941812,0.1666597192,
123.5868869,0.07091536119,
123.4797597,0.09199052797,
123.3727996,0.001113299679,
123.266006,-0.04001638542,
123.1593786,-0.01054344619,
123.0529171,0.09917586358,
122.9466212,0.1089791739,
122.8404905,0.3689592677,
122.7345246,0.3430183641,
122.6287232,0.5555760658,
122.5230861,0.5805531747,
122.4176127,0.7097455594,
122.3123029,0.6867230923,
122.2071563,0.8717122034,
122.1021724,0.7228435521,
121.9973511,0.8057353671,
121.8926919,0.6171200449,
121.7881945,0.7118812394,
121.6838587,0.6602827945,
121.5796839,0.7541407109,
121.47567,0.6809811538,
121.3718166,0.6929023241,
121.2681234,0.5477468907,
121.16459,0.4579974234,
121.0612161,0.2867489872,
120.9580014,0.3341150099,
120.8549455,0.341645965,
120.7520481,0.3197001201,
120.649309,0.1780510951,
120.5467277,0.3331327234,
120.444304,0.1844341915,
120.3420375,0.110703575,
120.2399279,0.0871516219,
120.1379749,0.03661123442,
120.0361782,-0.1117845372,
119.9345374,0.02433276413,
119.8330523,0.05545715554,
119.7317225,0.152405679,
119.6305476,0.1016239267,
119.5295275,0.3291157684,
119.4286617,0.4288766941,
119.32795,0.602760246,
119.227392,0.5798601057,
119.1269874,0.544487903,
119.0267359,0.577049444,
118.9266372,0.6204508471,
118.8266911,0.5409623207,
118.7268971,0.5214417288,
118.627255,0.5486513684,
118.5277644,0.5633505966,
118.4284251,0.5552563629,
118.3292368,0.5791910652,
118.2301991,0.6350088429,
118.1313117,0.5568480828,
118.0325744,0.4285645607,
117.9339868,0.4576738813,
117.8355486,0.3386367884,
117.7372596,0.3442623088,
117.6391194,0.2890898955,
117.5411277,0.3564807287,
117.4432843,0.2306746206,
117.3455887,0.2471046657,
117.2480408,0.1660106016,
117.1506403,0.2884324123,
117.0533868,0.2490238563,
116.95628,0.2350028828,
116.8593196,0.2568518716,
116.7625055,0.2967736184,
116.6658371,0.4226050252,
116.5693144,0.5957797838,
116.4729369,0.4539371051,
116.3767044,0.5088469451,
116.2806166,0.4755768077,
116.1846731,0.5138099846,
116.0888738,0.4606875517,
115.9932184,0.6023758394,
115.8977064,0.7307141267,
115.8023377,0.8254119245,
115.707112,0.685408232,
115.6120289,0.6918043356,
115.5170883,0.557852453,
115.4222897,0.5821796684,
115.327633,0.5483023887,
115.2331178,0.4653357088,
115.1387438,0.5054069543,
115.0445109,0.4256929736,
114.9504186,0.3138961777,
114.8564668,0.3853060067,
114.7626551,0.3193075569,
114.6689832,0.3237067361,
114.575451,0.2565351049,
114.482058,0.2867748441,
114.3888041,0.1931635981,
114.2956889,0.1318149329,
114.2027122,0.09677864115,
114.1098737,0.1778080744,
114.0171731,0.1442544781,
113.9246102,0.3083137296,
113.8321847,0.2164614181,
113.7398963,0.2800218717,
113.6477447,0.2134219791,
113.5557297,0.3783225899,
113.463851,0.3041225809,
113.3721083,0.4598058853,
113.2805014,0.4414852818,
113.18903,0.6574401804,
113.0976938,0.644584551,
113.0064925,0.6906231803,
112.915426,0.5805939655,
112.8244939,0.6677625051,
112.733696,0.4815352702,
112.6430319,0.3940030758,
112.5525015,0.2878815815,
112.4621045,0.2705206125,
112.3718406,0.2024743202,
112.2817096,0.2350124561,
112.1917111,0.2074997948,
112.101845,0.2020499724,
112.0121109,0.1471116339,
111.9225087,0.1730103577,
111.833038,0.2807873566,
111.7436986,0.3287320167,
111.6544903,0.2729999593,
111.5654128,0.2322661706,
111.4764657,0.2833106789,
111.387649,0.344837073,
111.2989623,0.3254079434,
111.2104053,0.3691779639,
111.1219779,0.1642994091,
111.0336797,0.252752416,
110.9455106,0.2574308779,
110.8574701,0.4105549056,
110.7695583,0.3902815631,
110.6817746,0.4340289387,
110.594119,0.4329399666,
110.5065911,0.4578194317,
110.4191908,0.4617014128,
110.3319177,0.4928244067,
110.2447716,0.4023034018,
110.1577523,0.4574244569,
110.0708596,0.41741489,
109.9840931,0.4181631492,
109.8974526,0.3124905199,
109.810938,0.3390531118,
109.7245489,0.1663580934,
109.638285,0.1620761713,
109.5521463,0.2111557614,
109.4661324,0.3209752533,
109.3802431,0.2016042144,
109.2944781,0.1932777828,
109.2088372,0.2714454764,
109.1233201,0.3992356728,
109.0379267,0.3719925467,
108.9526567,0.5108063534,
108.8675098,0.3957354119,
108.7824859,0.4478233751,
108.6975846,0.216518704,
108.6128057,0.2832746822,
108.5281491,0.1740377756,
108.4436144,0.2107443489,
108.3592014,0.2104409408,
108.27491,0.2965623501,
108.1907398,0.3662271129,
108.1066906,0.4575632093,
108.0227623,0.5390264408,
107.9389545,0.4710797768,
107.8552671,0.3606426924,
107.7716997,0.4723381435,
107.6882523,0.4564598684,
107.6049245,0.3708027864,
107.5217161,0.2685009652,
107.4386269,0.2923334033,
107.3556567,0.2863011926,
107.2728053,0.3225443254,
107.1900723,0.2075455001,
107.1074576,0.3108732494,
107.024961,0.3890024361,
106.9425822,0.4904892707,
106.8603211,0.3630604979,
106.7781773,0.4318018264,
106.6961507,0.3107955057,
106.614241,0.2771004631,
106.5324481,0.2928823305,
106.4507717,0.2622835361,
106.3692115,0.241110225,
106.2877674,0.2352566972,
106.2064391,0.1887843046,
106.1252265,0.1935881681,
106.0441292,0.2182159415,
105.9631471,0.3675321266,
105.88228,0.3846876127,
105.8015277,0.5253581749,
105.7208898,0.3554779434,
105.6403663,0.5024958623,
105.5599569,0.3787444134,
105.4796613,0.4592825963,
105.3994794,0.2983824455,
105.319411,0.3483844206,
105.2394558,0.2596704608,
105.1596136,0.2933786195,
105.0798842,0.1776043581,
105.0002675,0.2540134442,
104.9207631,0.123310245,
104.8413709,0.1140457052,
104.7620906,0.1506086662,
104.6829221,0.269477419,
104.6038652,0.2176647606,
104.5249196,0.2752931229,
104.4460851,0.2416708391,
104.3673615,0.2413308999,
104.2887486,0.2688140575,
104.2102463,0.274156396,
104.1318542,0.2154265996,
104.0535722,0.2216430568,
103.9754001,0.2323172472,
103.8973377,0.3258442874,
103.8193847,0.2933355668,
103.741541,0.2763132875,
103.6638064,0.164261083,
103.5861806,0.2917006409,
103.5086635,0.2247228335,
103.4312548,0.2856474473,
103.3539544,0.2430040095,
103.2767621,0.1594996298,
103.1996775,0.1111327079,
103.1227007,0.09134614248,
103.0458312,0.04400900707,
102.9690691,0.1685990558,
102.8924139,0.2353904194,
102.8158656,0.2135482056,
102.739424,0.2072829149,
102.6630888,0.3579690698,
102.5868599,0.2733601117,
102.510737,0.3696519953,
102.43472,0.2599396625,
102.3588086,0.320028201,
102.2830028,0.3030126651,
102.2073022,0.3439619596,
102.1317066,0.2455147843,
102.056216,0.361474824,
101.98083,0.3597965627,
101.9055485,0.3890761843,
