x0000,y0000,x0001,y0001
0,0,251.0939574,466.3903366,
0.2000000027,0.01458332432,264.8379839,1394.389763,
0.4000000053,-0.2583331736,279.7600546,2790.394108,
0.600000008,-0.3364581253,296.264319,3546.591557,
0.8000000107,-0.3093748087,314.5922877,3587.862365,
1.000000013,-0.5270830074,335.2343882,3425.956215,
1.200000016,-0.5010413568,357.8660445,3181.117824,
1.400000019,-0.5958329649,383.5535751,2670.737932,
1.600000021,-0.5531246579,412.6660983,2169.081992,
1.800000024,-0.5916663008,446.0881658,1537.431341,
2.000000027,-0.5020830228,484.5743097,1060.791011,
2.200000029,-0.3583331117,526.6492797,389.5622591,
2.400000032,-0.368749772, , ,
2.600000035,-0.599999629, , ,
2.800000037,-0.6531245961, , ,
3.00000004,-0.926041094, , ,
3.200000043,-0.9947910515, , ,
3.400000045,-0.9958327175, , ,
3.600000048,-0.9124994357, , ,
3.800000051,-0.9552077426, , ,
4.000000053,-0.9812493932, , ,
4.200000056,-1.033332694, , ,
4.400000059,-1.072916003, , ,
4.600000061,-0.9177077658, , ,
4.800000064,-1.195832594, , ,
5.000000067,-1.327082513, , ,
5.200000069,-1.452082435, , ,
5.400000072,-1.173957607, , ,
5.600000075,-0.7166662235, , ,
5.800000077,-0.4874996985, , ,
6.00000008,-0.4906246966, , ,
6.200000083,-0.4520830538, , ,
6.400000085,0.02812498261, , ,
6.600000088,0.08854161191, , ,
6.800000091,0.511458017, , ,
7.000000093,0.1927082142, , ,
7.200000096,0.02604165056, , ,
7.400000099,-0.1791665559, , ,
7.600000101,0.01249999227, , ,
7.800000104,-0.1937498802, , ,
8.000000107,-0.7572911984, , ,
8.200000109,-0.9885410554, , ,
8.400000112,-0.7999995053, , ,
8.600000115,-0.6093746232, , ,
8.800000117,-0.5364580016, , ,
9.00000012,-0.4458330576, , ,
9.200000123,-0.5770829765, , ,
9.400000126,-0.7833328489, , ,
9.600000128,-1.122915972, , ,
9.800000131,-1.248957561, , ,
10.00000013,-1.536457383, , ,
10.20000014,-1.405207464, , ,
10.40000014,-1.635415655, , ,
10.60000014,-1.745832254, , ,
10.80000014,-1.578124024, , ,
11.00000015,-1.440624109, , ,
11.20000015,-1.153124287, , ,
11.40000015,-0.8697911288, , ,
11.60000015,-0.7458328721, , ,
11.80000016,-0.6687495864, , ,
12.00000016,-0.3864580943, , ,
12.20000016,-0.1124999304, , ,
12.40000017,0.0645832934, , ,
12.60000017,0.03958330886, , ,
12.80000017,0.1770832238, , ,
13.00000017,0.1364582489, , ,
13.20000018,0.2874998222, , ,
13.40000018,-0.18333322, , ,
13.60000018,-0.4447913916, , ,
13.80000018,-0.6874995749, , ,
14.00000019,-0.7239578856, , ,
14.20000019,-0.8229161578, , ,
14.40000019,-1.30416586, , ,
14.60000019,-1.593749014, , ,
14.8000002,-1.474999088, , ,
15.0000002,-1.490624078, , ,
15.2000002,-1.38020748, , ,
15.40000021,-1.367707488, , ,
15.60000021,-1.311457522, , ,
15.80000021,-0.9197910979, , ,
16.00000021,-0.6302079436, , ,
16.20000022,-0.4749997063, , ,
16.40000022,-0.3927080905, , ,
16.60000022,-0.4541663858, , ,
16.80000022,-0.508333019, , ,
17.00000023,-0.5458329958, , ,
17.20000023,-0.971874399, , ,
17.40000023,-0.8583328025, , ,
17.60000023,-0.6604162583, , ,
17.80000024,-0.7010412331, , ,
18.00000024,-0.3458331195, , ,
18.20000024,-0.508333019, , ,
18.40000025,-0.326041465, , ,
18.60000025,-0.4541663858, , ,
18.80000025,-0.508333019, , ,
19.00000025,-0.7791661848, , ,
19.20000026,-0.7739578547, , ,
19.40000026,-0.7604161964, , ,
19.60000026,-0.8520828064, , ,
19.80000026,-1.051041017, , ,
20.00000027,-1.166665945, , ,
20.20000027,-1.327082513, , ,
20.40000027,-1.178124271, , ,
20.60000028,-0.9541660766, , ,
20.80000028,-1.238540901, , ,
21.00000028,-0.9499994125, , ,
21.20000028,-0.9385410863, , ,
21.40000029,-0.9999993816, , ,
21.60000029,-1.065624341, , ,
21.80000029,-1.148957623, , ,
22.00000029,-1.21249925, , ,
22.2000003,-1.036457692, , ,
22.4000003,-0.7645828605, , ,
22.6000003,-0.8041661694, , ,
22.8000003,-0.6572912602, , ,
23.00000031,-0.7312495478, , ,
23.20000031,-0.8187494937, , ,
23.40000031,-1.063541009, , ,
23.60000032,-1.141665961, , ,
23.80000032,-1.383332478, , ,
24.00000032,-1.047916019, , ,
24.20000032,-0.8093744995, , ,
24.40000033,-0.6239579475, , ,
24.60000033,-0.5593746541, , ,
24.80000033,-0.2687498338, , ,
25.00000033,-0.2135415346, , ,
25.20000034,-0.08437494782, , ,
25.40000034,-0.2541665095, , ,
25.60000034,-0.2999998145, , ,
25.80000034,-0.462499714, , ,
26.00000035,-0.6135412873, , ,
26.20000035,-0.7062495633, , ,
26.40000035,-1.03437436, , ,
26.60000036,-1.261457553, , ,
26.80000036,-1.154165953, , ,
27.00000036,-1.36979082, , ,
27.20000036,-1.415624125, , ,
27.40000037,-1.360415825, , ,
27.60000037,-1.033332694, , ,
27.80000037,-1.219790912, , ,
28.00000037,-1.316665852, , ,
28.20000038,-1.319790851, , ,
28.40000038,-1.042707689, , ,
28.60000038,-0.8916661153, , ,
28.80000038,-0.9656244029, , ,
29.00000039,-0.9489577465, , ,
29.20000039,-0.7083328953, , ,
29.40000039,-0.5864579707, , ,
29.6000004,-0.5177080132, , ,
29.8000004,-0.7593745304, , ,
30.0000004,-0.8114578315, , ,
30.2000004,-0.7562495323, , ,
30.40000041,-0.6260412795, , ,
30.60000041,-0.5791663085, , ,
30.80000041,-0.5791663085, , ,
31.00000041,-0.5916663008, , ,
31.20000042,-0.4906246966, , ,
31.40000042,-0.4541663858, , ,
31.60000042,-0.2614581716, , ,
31.80000042,-0.6104162892, , ,
32.00000043,-0.8479161423, , ,
32.20000043,-1.069791005, , ,
32.40000043,-1.21770758, , ,
32.60000044,-1.268749215, , ,
32.80000044,-1.502082404, , ,
33.00000044,-1.507290735, , ,
33.20000044,-1.265624217, , ,
33.40000045,-0.9843743913, , ,
33.60000045,-0.9395827523, , ,
33.80000045,-0.8531244724, , ,
34.00000045,-0.648957932, , ,
34.20000046,-0.6124996212, , ,
34.40000046,-0.5249996753, , ,
34.60000046,-0.6052079591, , ,
34.80000046,-0.5937496328, , ,
35.00000047,-0.8406244802, , ,
35.20000047,-0.7270828837, , ,
35.40000047,-0.7562495323, , ,
35.60000048,-0.8208328257, , ,
35.80000048,-0.8072911674, , ,
36.00000048,-0.6989579011, , ,
36.20000048,-0.5510413259, , ,
36.40000049,-0.2895831543, , ,
36.60000049,-0.231249857, , ,
36.80000049,-0.4312497333, , ,
37.00000049,-0.6447912679, , ,
37.2000005,-0.6593745922, , ,
37.4000005,-0.7604161964, , ,
37.6000005,-0.8010411713, , ,
37.8000005,-0.9468744145, , ,
38.00000051,-1.09999932, , ,
38.20000051,-1.010416042, , ,
38.40000051,-0.6083329571, , ,
38.60000052,-0.3927080905, , ,
38.80000052,-0.6374996058, , ,
39.00000052,-0.6708329185, , ,
39.20000052,-0.3802080982, , ,
39.40000053,-0.509374685, , ,
39.60000053,-0.8645827987, , ,
39.80000053,-0.8906244492, , ,
40.00000053,-0.9364577542, , ,
40.20000054,-0.7239578856, , ,
40.40000054,-0.647916266, , ,
40.60000054,-0.4541663858, , ,
40.80000054,-0.2656248357, , ,
41.00000055,-0.03749997681, , ,
41.20000055,-0.07083328953, , ,
41.40000055,-0.2687498338, , ,
41.60000056,-0.5197913452, , ,
41.80000056,-0.4010414187, , ,
42.00000056,-0.507291353, , ,
42.20000056,-0.4031247507, , ,
42.40000057,-0.6666662544, , ,
42.60000057,-0.7541662003, , ,
42.80000057,-0.5781246425, , ,
43.00000057,-0.7333328798, , ,
43.20000058,-0.645832934, , ,
43.40000058,-0.7968745072, , ,
43.60000058,-0.3979164206, , ,
43.80000058,-0.4427080596, , ,
44.00000059,-0.4687497101, , ,
44.20000059,-0.462499714, , ,
44.40000059,-0.3781247662, , ,
44.6000006,-0.4833330344, , ,
44.8000006,-0.6843745768, , ,
45.0000006,-0.6833329108, , ,
45.2000006,-0.6333329417, , ,
45.40000061,-0.6770829146, , ,
45.60000061,-0.7020828992, , ,
45.80000061,-0.7531245343, , ,
46.00000061,-0.878124457, , ,
46.20000062,-1.007291044, , ,
46.40000062,-0.7906245111, , ,
46.60000062,-0.9218744299, , ,
46.80000062,-0.7468745381, , ,
47.00000063,-0.6760412486, , ,
47.20000063,-0.4968746927, , ,
47.40000063,-0.4072914148, , ,
47.60000064,-0.3010414805, , ,
47.80000064,-0.3343747932, , ,
48.00000064,-0.3531247816, , ,
48.20000064,-0.4895830306, , ,
48.40000065,-0.3302081291, , ,
48.60000065,-0.8104161655, , ,
48.80000065,-0.7437495401, , ,
49.00000065,-0.4229164051, , ,
49.20000066,-0.4093747468, , ,
49.40000066,-0.4499997217, , ,
49.60000066,-0.5708329803, , ,
49.80000066,-0.5302080055, , ,
50.00000067,-0.3864580943, , ,
50.20000067,-0.4458330576, , ,
50.40000067,-0.8124994976, , ,
50.60000068,-0.7624995285, , ,
50.80000068,-1.001041048, , ,
51.00000068,-0.9156244338, , ,
51.20000068,-0.8135411636, , ,
51.40000069,-1.031249362, , ,
51.60000069,-1.078124333, , ,
51.80000069,-1.09479099, , ,
52.00000069,-0.8531244724, , ,
52.2000007,-0.6322912757, , ,
52.4000007,-0.3604164438, , ,
52.6000007,-0.6614579243, , ,
52.8000007,-0.5916663008, , ,
53.00000071,-0.6666662544, , ,
53.20000071,-0.3281247971, , ,
53.40000071,-0.5760413104, , ,
53.60000072,-0.5614579861, , ,
53.80000072,-0.5854163046, , ,
54.00000072,-0.603124627, , ,
54.20000072,-0.6874995749, , ,
54.40000073,-0.5531246579, , ,
54.60000073,-0.5385413336, , ,
54.80000073,-0.5916663008, , ,
55.00000073,-0.8249994898, , ,
55.20000074,-0.7604161964, , ,
55.40000074,-0.8041661694, , ,
55.60000074,-0.9510410785, , ,
55.80000075,-1.096874322, , ,
56.00000075,-1.044791021, , ,
56.20000075,-0.7937495091, , ,
56.40000075,-0.5864579707, , ,
56.60000076,-0.3510414496, , ,
56.80000076,-0.3427081214, , ,
57.00000076,-0.5416663317, , ,
57.20000076,-0.5062496869, , ,
57.40000077,-0.5593746541, , ,
57.60000077,-0.6739579166, , ,
57.80000077,-0.786457847, , ,
58.00000077,-0.7739578547, , ,
58.20000078,-0.6781245806, , ,
58.40000078,-0.4354163974, , ,
58.60000078,-0.5031246889, , ,
58.80000079,-0.3312497952, , ,
59.00000079,-0.2166665327, , ,
59.20000079,-0.3843747623, , ,
59.40000079,-0.5468746618, , ,
59.6000008,-0.6187496174, , ,
59.8000008,-0.6781245806, , ,
60.0000008,-0.7145828914, , ,
60.2000008,-0.7260412177, , ,
60.40000081,-0.8874994512, , ,
60.60000081,-0.8687494628, , ,
60.80000081,-0.7052078972, , ,
61.00000081,-0.4572913839, , ,
61.20000082,-0.695832903, , ,
61.40000082,-0.6395829378, , ,
61.60000082,-0.73854121, , ,
61.80000083,-0.6291662776, , ,
62.00000083,-0.8562494705, , ,
62.20000083,-0.9833327252, , ,
62.40000083,-0.8593744686, , ,
62.60000084,-0.8072911674, , ,
62.80000084,-0.5281246734, , ,
63.00000084,-0.4354163974, , ,
63.20000084,-0.4937496947, , ,
63.40000085,-0.4135414109, , ,
63.60000085,0.07291662158, , ,
63.80000085,0.05937496328, , ,
64.00000085,-0.1145832625, , ,
64.20000086,-0.417708075, , ,
64.40000086,-0.5531246579, , ,
64.60000086,-0.6427079359, , ,
64.80000087,-0.5677079823, , ,
65.00000087,-0.7562495323, , ,
65.20000087,-1.007291044, , ,
65.40000087,-0.8718744608, , ,
65.60000088,-0.924999428, , ,
65.80000088,-1.027082698, , ,
66.00000088,-0.8447911442, , ,
66.20000088,-0.5624996522, , ,
66.40000089,-0.6864579088, , ,
66.60000089,-1.18124927, , ,
66.80000089,-1.01354104, , ,
67.00000089,-1.053124349, , ,
67.2000009,-0.9166660998, , ,
67.4000009,-0.9468744145, , ,
67.6000009,-0.832291152, , ,
67.80000091,-0.6187496174, , ,
68.00000091,-0.6249996135, , ,
68.20000091,-0.4874996985, , ,
68.40000091,-0.4843747005, , ,
68.60000092,-0.4260414032, , ,
68.80000092,-0.1729165597, , ,
69.00000092,-0.3416664554, , ,
69.20000092,-0.3083331427, , ,
69.40000093,-0.3208331349, , ,
69.60000093,-0.3197914689, , ,
69.80000093,-0.4854163665, , ,
70.00000093,-0.5968746309, , ,
70.20000094,-0.4416663935, , ,
70.40000094,-0.5864579707, , ,
70.60000094,-1.036457692, , ,
70.80000095,-1.036457692, , ,
71.00000095,-0.8822911211, , ,
71.20000095,-1.019791036, , ,
71.40000095,-0.9999993816, , ,
71.60000096,-0.9635410708, , ,
71.80000096,-1.096874322, , ,
72.00000096,-1.10520765, , ,
72.20000096,-1.01354104, , ,
72.40000097,-1.0239577, , ,
72.60000097,-0.7812495169, , ,
72.80000097,-0.4874996985, , ,
73.00000097,-0.5291663394, , ,
73.20000098,-0.2739581639, , ,
73.40000098,-0.3760414341, , ,
73.60000098,-0.2364581871, , ,
73.80000099,-0.2635415037, , ,
74.00000099,-0.1958332122, , ,
74.20000099,-0.4229164051, , ,
74.40000099,-0.4656247121, , ,
74.600001,-0.7947911752, , ,
74.800001,-0.4822913684, , ,
75.000001,-0.507291353, , ,
75.200001,-0.5822913066, , ,
75.40000101,-0.8843744531, , ,
75.60000101,-0.787499513, , ,
75.80000101,-0.5895829687, , ,
